# time;position;energy
0.00000;0.00000;0.00000
1.00000;0.00000;0.00000
2.00000;0.00000;0.00000
3.00000;0.00000;0.00000
4.00000;0.00000;0.00000
5.00000;0.00000;0.00000
6.00000;0.00000;0.00000
7.00000;0.00000;0.00000
8.00000;0.00000;0.00000
9.00000;0.00000;0.00000
10.00000;0.00000;0.00000
11.00000;0.00000;0.00000
12.00000;0.00000;0.00000
13.00000;0.00000;0.00000
14.00000;0.00000;0.00000
15.00000;0.00000;0.00000
16.00000;0.00000;0.00000
17.00000;0.00000;0.00000
18.00000;0.00000;0.00000
19.00000;0.00000;0.00000
20.00000;0.00000;0.00000
21.00000;0.00000;0.00000
22.00000;0.00000;0.00000
23.00000;0.00000;0.00000
24.00000;0.00000;0.00000
25.00000;0.00000;0.00000
26.00000;0.00000;0.00000
27.00000;0.00000;0.00000
28.00000;0.00000;0.00000
29.00000;0.00000;0.00000
30.00000;0.00000;0.00000
31.00000;0.00000;0.00000
32.00000;0.00000;0.00000
33.00000;0.00000;0.00000
34.00000;0.00000;0.00000
35.00000;0.00000;0.00000
36.00000;0.00000;0.00000
37.00000;0.00000;0.00000
38.00000;0.00000;0.00000
39.00000;0.00000;0.00000
40.00000;0.00000;0.00000
41.00000;0.00000;0.00000
42.00000;0.00000;0.00000
43.00000;0.00000;0.00000
44.00000;0.00000;0.00000
45.00000;0.00000;0.00000
46.00000;0.00000;0.00000
47.00000;0.00000;0.00000
48.00000;0.00000;0.00000
49.00000;0.00000;0.00000
50.00000;0.00000;0.00000
51.00000;0.00000;0.00000
52.00000;157.07963;0.00000
53.00000;314.15927;0.00000
54.00000;471.23890;0.00000
55.00000;628.31853;0.00000
56.00000;785.39816;0.00000
57.00000;942.47780;0.00000
58.00000;1099.55743;0.00000
59.00000;1256.63706;0.00000
60.00000;1413.71669;0.00000
61.00000;1570.79633;0.00000
62.00000;1727.87596;0.00000
63.00000;1884.95559;0.00000
64.00000;2042.03522;0.00000
65.00000;2199.11486;0.00000
66.00000;2356.19449;0.00000
67.00000;2513.27412;0.00000
68.00000;2670.35376;0.00000
69.00000;2827.43339;0.00000
70.00000;2984.51302;0.00000
71.00000;3141.59265;0.00000
72.00000;3298.67229;0.00000
73.00000;3455.75192;0.00000
74.00000;3612.83155;0.00000
75.00000;3769.91118;0.00000
76.00000;3926.99082;0.00000
77.00000;4084.07045;0.00000
78.00000;4241.15008;0.00000
79.00000;4398.22972;0.00000
80.00000;4555.30935;0.00000
81.00000;4712.38898;0.00000
82.00000;4869.46861;0.00000
83.00000;0.00000;0.00000
84.00000;0.00000;0.00000
85.00000;0.00000;0.00000
86.00000;0.00000;0.00000
87.00000;0.00000;0.00000
88.00000;0.00000;0.00000
89.00000;0.00000;0.00000
90.00000;0.00000;0.00000
91.00000;0.00000;0.00000
92.00000;0.00000;0.00000
93.00000;0.00000;0.00000
94.00000;0.00000;0.00000
95.00000;0.00000;0.00000
96.00000;0.00000;0.00000
97.00000;0.00000;0.00000
98.00000;0.00000;0.00000
99.00000;0.00000;0.00000
100.00000;0.00000;0.00000
