# time;position;energy
0.00000;0.00000;0.00000
1.00000;0.00000;0.00000
2.00000;2.46720;24.33625
3.00000;9.86636;48.57646
4.00000;22.19018;72.62496
5.00000;39.42649;96.38684
6.00000;61.55830;119.76833
7.00000;88.56375;142.67715
8.00000;120.41619;165.02288
9.00000;157.08419;186.71735
10.00000;198.53157;207.67492
11.00000;244.71742;227.81290
12.00000;295.59616;247.05181
13.00000;351.11757;265.31571
14.00000;411.22687;282.53254
15.00000;475.86474;298.63433
16.00000;544.96738;313.55756
17.00000;618.46660;327.24332
18.00000;696.28986;339.63759
19.00000;778.36037;350.69147
20.00000;864.59713;360.36134
21.00000;954.91503;368.60902
22.00000;1049.22494;375.40197
23.00000;1147.43379;380.71338
24.00000;1249.44465;384.52229
25.00000;1355.15686;386.81366
26.00000;1464.46609;387.57846
27.00000;1577.26447;386.81366
28.00000;1693.44067;384.52229
29.00000;1812.88005;380.71338
30.00000;1935.46473;375.40197
31.00000;2061.07374;368.60902
32.00000;2189.58311;360.36134
33.00000;2320.86603;350.69147
34.00000;2454.79292;339.63759
35.00000;2591.23163;327.24332
36.00000;2730.04750;313.55756
37.00000;2871.10354;298.63433
38.00000;3014.26055;282.53254
39.00000;3159.37724;265.31571
40.00000;3306.31040;247.05181
41.00000;3454.91503;227.81290
42.00000;3605.04447;207.67492
43.00000;3756.55056;186.71735
44.00000;3909.28379;165.02288
45.00000;4063.09343;142.67715
46.00000;4217.82767;119.76833
47.00000;4373.33383;96.38684
48.00000;4529.45843;72.62496
49.00000;4686.04740;48.57646
50.00000;4842.94620;24.33625
51.00000;0.00000;0.00000
52.00000;0.00000;0.00000
53.00000;0.00000;0.00000
54.00000;0.00000;0.00000
55.00000;0.00000;0.00000
56.00000;0.00000;0.00000
57.00000;0.00000;0.00000
58.00000;0.00000;0.00000
59.00000;0.00000;0.00000
60.00000;0.00000;0.00000
61.00000;2.46720;24.33625
62.00000;9.86636;48.57646
63.00000;22.19018;72.62496
64.00000;39.42649;96.38684
65.00000;61.55830;119.76833
66.00000;88.56375;142.67715
67.00000;120.41619;165.02288
68.00000;157.08419;186.71735
69.00000;198.53157;207.67492
70.00000;244.71742;227.81290
71.00000;295.59616;247.05181
72.00000;351.11757;265.31571
73.00000;411.22687;282.53254
74.00000;475.86474;298.63433
75.00000;544.96738;313.55756
76.00000;618.46660;327.24332
77.00000;696.28986;339.63759
78.00000;778.36037;350.69147
79.00000;864.59713;360.36134
80.00000;954.91503;368.60902
81.00000;1049.22494;375.40197
82.00000;1147.43379;380.71338
83.00000;1249.44465;384.52229
84.00000;1355.15686;386.81366
85.00000;1464.46609;387.57846
86.00000;1577.26447;386.81366
87.00000;1693.44067;384.52229
88.00000;1812.88005;380.71338
89.00000;1935.46473;375.40197
90.00000;2061.07374;368.60902
91.00000;2189.58311;360.36134
92.00000;2320.86603;350.69147
93.00000;2454.79292;339.63759
94.00000;2591.23163;327.24332
95.00000;2730.04750;313.55756
96.00000;2871.10354;298.63433
97.00000;3014.26055;282.53254
98.00000;3159.37724;265.31571
99.00000;3306.31040;247.05181
100.00000;3454.91503;227.81290
101.00000;0;0
